"","EventID","Metric","Value"
"615",5762,"CYPR_NTAX",6
"616",5762,"CYPR_PROP",0.607734806629834
"617",5762,"CYPR_SUM",110
"618",5762,"MODTOL_NTAX",2
"619",5762,"MODTOL_PROP",0.0220994475138122
"620",5762,"MODTOL_SUM",4
"621",5762,"TOLBENT_NTAX",6
"622",5762,"TOLBENT_PROP",0.419889502762431
"623",5762,"TOLBENT_SUM",76
"624",5762,"TOTAL",181
"625",5764,"BENT_NTAX",6
"626",5764,"BENT_PROP",0.25
"627",5764,"BENT_SUM",15
"628",5764,"COTTID_NTAX",0
"629",5764,"COTTID_PROP",0
"630",5764,"COTTID_SUM",0
"631",5764,"CYPR_NTAX",1
"632",5764,"CYPR_PROP",0.183333333333333
"633",5764,"CYPR_SUM",11
"634",5764,"MODTOL_NTAX",1
"635",5764,"MODTOL_PROP",0.283333333333333
"636",5764,"MODTOL_SUM",17
"637",5764,"TOLBENT_NTAX",4
"638",5764,"TOLBENT_PROP",0.2
"639",5764,"TOLBENT_SUM",12
"640",5764,"TOTAL",60
"641",5766,"BENT_NTAX",12
"642",5766,"BENT_PROP",0.445378151260504
"643",5766,"BENT_SUM",106
"644",5766,"COTTID_NTAX",0
"645",5766,"COTTID_PROP",0
"646",5766,"COTTID_SUM",0
"647",5766,"CYPR_NTAX",8
"648",5766,"CYPR_PROP",0.668067226890756
"649",5766,"CYPR_SUM",159
"650",5766,"MODTOL_NTAX",3
"651",5766,"MODTOL_PROP",0.0294117647058824
"652",5766,"MODTOL_SUM",7
"653",5766,"TOLBENT_NTAX",7
"654",5766,"TOLBENT_PROP",0.323529411764706
"655",5766,"TOLBENT_SUM",77
"656",5766,"TOTAL",238
"657",5768,"BENT_NTAX",9
"658",5768,"BENT_PROP",0.394736842105263
"659",5768,"BENT_SUM",45
"660",5768,"COTTID_NTAX",0
"661",5768,"COTTID_PROP",0
"662",5768,"COTTID_SUM",0
"663",5768,"CYPR_NTAX",7
"664",5768,"CYPR_PROP",0.508771929824561
"665",5768,"CYPR_SUM",58
"666",5768,"MODTOL_NTAX",2
"667",5768,"MODTOL_PROP",0.0964912280701754
"668",5768,"MODTOL_SUM",11
"669",5768,"TOLBENT_NTAX",6
"670",5768,"TOLBENT_PROP",0.271929824561404
"671",5768,"TOLBENT_SUM",31
"672",5768,"TOTAL",114
"673",5772,"BENT_NTAX",12
"674",5772,"BENT_PROP",0.340740740740741
"675",5772,"BENT_SUM",46
"676",5772,"COTTID_NTAX",0
"677",5772,"COTTID_PROP",0
"678",5772,"COTTID_SUM",0
"679",5772,"CYPR_NTAX",9
"680",5772,"CYPR_PROP",0.57037037037037
"681",5772,"CYPR_SUM",77
"682",5772,"MODTOL_NTAX",2
"683",5772,"MODTOL_PROP",0.103703703703704
"684",5772,"MODTOL_SUM",14
"685",5772,"TOLBENT_NTAX",6
"686",5772,"TOLBENT_PROP",0.2
"687",5772,"TOLBENT_SUM",27
"688",5772,"TOTAL",135
"689",5774,"BENT_NTAX",12
"690",5774,"BENT_PROP",0.382857142857143
